id,name,launch_designator,net,window_start,window_end,status.id,status.name,status.abbrev,failreason,launch_service_provider.id,launch_service_provider.name,launch_service_provider.type.name,rocket.configuration.id,rocket.configuration.name,rocket.configuration.full_name,rocket.configuration.variant,rocket.configuration.reusable,rocket.configuration.manufacturer.id,rocket.configuration.manufacturer.name,rocket.configuration.min_stage,rocket.configuration.max_stage,rocket.configuration.length,rocket.configuration.diameter,rocket.configuration.launch_mass,rocket.configuration.to_thrust,rocket.configuration.leo_capacity,rocket.configuration.gto_capacity,rocket.configuration.geo_capacity,rocket.configuration.sso_capacity,rocket.configuration.apogee,mission.id,mission.name,mission.type,mission.description,mission.orbit.id,mission.orbit.name,mission.orbit.abbrev,pad.id,pad.name,pad.latitude,pad.longitude,rocket.launcher_stage,rocket.spacecraft_stage,rocket.payloads,timeline,updates,flightclub_url,info_urls,vid_urls
46c862f7-5b92-48bc-94ce-54615630154b,Thor DM-21 Agena-B | Discoverer 29,1961-023,1961-08-30T20:00:00Z,1961-08-30T20:00:00Z,1961-08-30T20:00:00Z,3,Launch Successful,Success,,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,,,,,,,,95,Space Launch Complex 1W,34.7572,-120.6303,[],[],[],[],[],,[],[]
f8025d66-a0eb-469d-936f-5d8b9d49baee,Atlas LV-3A | Samos 3,,1961-09-09T19:28:27Z,1961-09-09T19:28:27Z,1961-09-09T19:28:27Z,4,Launch Failure,Failure,,161,United States Air Force,Government,183,Atlas Agena B,Atlas LV-3 Agena B,LV-3 Agena B,False,161,United States Air Force,,,20.27,3.05,130.0,363.0,,,,,,,,,,,,,93,Space Launch Complex 3W,34.644,-120.593,[],[],[],[],[],,[],[]
586f5567-b303-44a3-9ccf-bf9d582d91c3,Thor DM-21 Agena-B | Discoverer 30,1961-024,1961-09-12T19:59:00Z,1961-09-12T19:59:00Z,1961-09-12T19:59:00Z,3,Launch Successful,Success,,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,,,,,,,,96,Space Launch Complex 1E,34.756,-120.6263,[],[],[],[],[],,[],[]
2c9a3d0b-55b8-4900-9082-fe61b08034d1,Thor DM-21 Agena-B | Discoverer 31,1961-026,1961-09-17T21:00:00Z,1961-09-17T21:00:00Z,1961-09-17T21:00:00Z,3,Launch Successful,Success,,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,,,,,,,,98,Space Launch Complex 2E,34.7516,-120.6192,[],[],[],[],[],,[],[]
b5d2389b-8dba-40be-b5ac-8acb316d5518,Thor DM-21 Agena-B | Discoverer 32,1961-027,1961-10-13T19:22:00Z,1961-10-13T19:22:00Z,1961-10-13T19:22:00Z,3,Launch Successful,Success,,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,,,,,,,,95,Space Launch Complex 1W,34.7572,-120.6303,[],[],[],[],[],,[],[]
ca8c7e27-d18a-4caf-ae73-6cf4bda73171,Atlas LV-3A | MIDAS 4 & Westford-1,1961-028,1961-10-21T13:53:03Z,1961-10-21T13:53:03Z,1961-10-21T13:53:03Z,3,Launch Successful,Success,,161,United States Air Force,Government,183,Atlas Agena B,Atlas LV-3 Agena B,LV-3 Agena B,False,161,United States Air Force,,,20.27,3.05,130.0,363.0,,,,,,,,,,,,,24,Space Launch Complex 3E,34.64,-120.5895,[],[],[],[],[],,[],[]
da1cbbc4-dbda-40c7-8868-734ff8dcb157,Thor DM-21 Agena-B | Discoverer 33,,1961-10-23T19:23:00Z,1961-10-23T19:23:00Z,1961-10-23T19:23:00Z,4,Launch Failure,Failure,Failed to reach orbit,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,,,,,,,,96,Space Launch Complex 1E,34.756,-120.6263,[],[],[],[],[],,[],[]
b4fd8512-5538-4b32-b151-e6fe024fcf60,Thor DM-21 Agena-B | Discoverer 34,1961-029,1961-11-05T20:00:30Z,1961-11-05T20:00:30Z,1961-11-05T20:00:30Z,7,Launch was a Partial Failure,Partial Failure,,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,,,,,,,,98,Space Launch Complex 2E,34.7516,-120.6192,[],[],[],[],[],,[],[]
3303756b-7c89-4b0d-8a2a-56c6ac123cf9,Thor DM-21 Agena-B | Discoverer 35,1961-030,1961-11-15T21:22:46Z,1961-11-15T21:22:46Z,1961-11-15T21:22:46Z,3,Launch Successful,Success,,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,,,,,,,,95,Space Launch Complex 1W,34.7572,-120.6303,[],[],[],[],[],,[],[]
602ee780-2016-45a3-9baa-802574b6548f,Atlas LV-3A | Samos 4,,1961-11-22T20:45:47Z,1961-11-22T20:45:47Z,1961-11-22T20:45:47Z,4,Launch Failure,Failure,Failed to reach orbit,161,United States Air Force,Government,183,Atlas Agena B,Atlas LV-3 Agena B,LV-3 Agena B,False,161,United States Air Force,,,20.27,3.05,130.0,363.0,,,,,,,,,,,,,93,Space Launch Complex 3W,34.644,-120.593,[],[],[],[],[],,[],[]
